Instance Name, CC2 Result, CC2 (Concurrent Enabled) Result
./nestedMerge/EQ_UnchLoopEQ_multiple/libA , equiv; 2.287300, equiv; 2.365000
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA , equiv; 2.404100, equiv; 2.441800
./nestedMerge/EQ_UnchLoopEQ_odd/libA , equiv; 2.636500, equiv; 2.390600
./nestedMerge/EQ_UnchLoopEQ_one/libA , not equiv; 1.608700, not equiv; 2.098700
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA , equiv; 1.031300, equiv; 1.204100
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA , equiv; 3.163600, equiv; 3.687500
./nestedMerge/EQ_UnchLoopEQ_pos/libA , equiv; 12.865700, equiv; 13.253100
./nestedMerge/EQ_UnchLoopEQ_pos2/libA , equiv; 0.663300, equiv; 0.918300
./nestedMerge/EQ_UnchLoopEQ_pos3/libA , equiv; 2.239400, equiv; 2.415800
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA , equiv; 115.796400, equiv; 67.039000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA , equiv; 2.483000, equiv; 1.592000
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA , equiv; 0.919100, equiv; 0.877400
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA , equiv; 0.864100, equiv; 0.889000
./nestedMerge/EQ_divideEQ_LoopMult20/libA , equiv; 2.077800, equiv; 2.058900
./nestedMerge/EQ_divideEQ_UnchLoop/libA , equiv; 40.352800, equiv; 40.647100
./nestedMerge/EQ_divideEQ_odd/libA , equiv; 15.636000, equiv; 16.095400
./nestedMerge/EQ_divideEQ_pos/libA , equiv; 25.489200, equiv; 26.637000
./nestedMerge/EQ_divideEQ_pos2/libA , equiv; 0.782800, equiv; 0.885400
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA , equiv; 92.250600, equiv; 55.326500
./nestedMerge/EQ_getSign2EQ_LoopMult20/libA , equiv; 2.152600, equiv; 2.055700
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA , equiv; 40.335300, equiv; 40.601900
./nestedMerge/EQ_getSign2EQ_odd/libA , equiv; 12.969700, equiv; 13.139700
./nestedMerge/EQ_getSign2EQ_pos/libA , equiv; 24.970300, equiv; 25.839700
./nestedMerge/EQ_getSign2EQ_pos2/libA , equiv; 0.796000, equiv; 0.874200
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA , equiv; 101.723100, equiv; 58.154300
./nestedMerge/EQ_is_prime1EQ_LoopMult20/libA , equiv; 1.981400, equiv; 2.025400
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA , equiv; 40.333500, equiv; 40.628100
./nestedMerge/EQ_is_prime1EQ_odd/libA , equiv; 15.564800, equiv; 15.873900
./nestedMerge/EQ_is_prime1EQ_pos/libA , equiv; 12.990600, equiv; 13.492500
./nestedMerge/EQ_is_prime1EQ_pos2/libA , equiv; 0.726600, equiv; 0.834000
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA , equiv; 103.260200, equiv; 68.135100
./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA , equiv; 0.976500, equiv; 1.453500
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA , equiv; 0.305600, equiv; 0.585500
./nestedMerge/EQ_is_prime2EQ_odd/libA , equiv; 21.901000, equiv; 23.117500
./nestedMerge/EQ_is_prime2EQ_pos/libA , equiv; 22.840600, equiv; 24.171400
./nestedMerge/EQ_is_prime2EQ_pos2/libA , equiv; 0.472900, equiv; 0.518700
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA , equiv; 153.419100, equiv; 83.367100
./nestedMerge/EQ_is_prime3EQ_LoopMult20/libA , equiv; 1.678600, equiv; 1.656000
./nestedMerge/EQ_is_prime3EQ_UnchLoop/libA , equiv; 40.324000, equiv; 40.339100
./nestedMerge/EQ_is_prime3EQ_odd/libA , timeout; 300.000000, timeout; 300.000000
./nestedMerge/EQ_is_prime3EQ_pos/libA , equiv; 21.980100, equiv; 11.893200
