Instance Name, CC2 Result, CLEVER Result, Reve Result
./multLibs/EQ_LoopUnreach20/7 , equiv; 2.430000, equiv; 1.990000, equiv; 0.030000
./multLibs/EQ_LoopUnreach20/8 , equiv; 4.390000, equiv; 5.650000, equiv; 0.030000
./multLibs/EQ_LoopUnreach20/9 , equiv; 11.070000, equiv; 20.360000, equiv; 0.030000
./multLibs/EQ_UnchLoop/1 , equiv; 40.460000, equiv; 0.230000, equiv; 0.340000
./multLibs/EQ_UnchLoop/10 , equiv; 0.730000, equiv; 0.240000, equiv; 31.760000
./multLibs/EQ_UnchLoop/11 , equiv; 0.790000, equiv; 0.240000, equiv; 46.480000
./multLibs/EQ_UnchLoop/12 , equiv; 0.880000, equiv; 0.250000, equiv; 55.510000
./multLibs/EQ_UnchLoop/13 , equiv; 0.940000, equiv; 0.250000, equiv; 72.750000
./multLibs/EQ_UnchLoop/14 , equiv; 1.030000, equiv; 0.250000, equiv; 81.680000
./multLibs/EQ_UnchLoop/15 , equiv; 1.120000, equiv; 0.250000, equiv; 95.750000
./multLibs/EQ_UnchLoop/2 , equiv; 0.360000, equiv; 0.240000, equiv; 1.070000
./multLibs/EQ_UnchLoop/3 , equiv; 0.420000, equiv; 0.240000, equiv; 2.270000
./multLibs/EQ_UnchLoop/4 , equiv; 0.430000, equiv; 0.240000, equiv; 4.180000
./multLibs/EQ_UnchLoop/5 , equiv; 0.460000, equiv; 0.250000, equiv; 7.180000
./multLibs/EQ_UnchLoop/6 , equiv; 0.510000, equiv; 0.240000, equiv; 10.200000
./multLibs/EQ_UnchLoop/7 , equiv; 0.560000, equiv; 0.250000, equiv; 13.490000
./multLibs/EQ_UnchLoop/8 , equiv; 0.600000, equiv; 0.250000, equiv; 18.560000
./multLibs/EQ_UnchLoop/9 , equiv; 0.660000, equiv; 0.250000, equiv; 23.360000
./multLibs/EQ_divide/1 , equiv; 0.330000, equiv; 0.250000, equiv; 0.020000
./multLibs/EQ_divide/10 , equiv; 3.010000, equiv; 1.340000, unknown; 120.090000
./multLibs/EQ_divide/11 , equiv; 3.620000, equiv; 2.590000, unknown; 118.500000
./multLibs/EQ_divide/12 , equiv; 4.380000, equiv; 5.670000, unknown; 119.380000
./multLibs/EQ_divide/13 , equiv; 5.270000, equiv; 13.130000, unknown; 120.680000
./multLibs/EQ_divide/14 , equiv; 6.280000, equiv; 30.490000, unknown; 124.980000
./multLibs/EQ_divide/15 , equiv; 7.380000, equiv; 73.270000, unknown; 134.480000
./multLibs/EQ_divide/2 , equiv; 0.450000, equiv; 0.310000, equiv; 0.030000
./multLibs/EQ_divide/3 , equiv; 0.570000, equiv; 0.300000, equiv; 0.100000
./multLibs/EQ_divide/4 , equiv; 0.710000, equiv; 0.330000, equiv; 0.430000
./multLibs/EQ_divide/5 , equiv; 0.930000, equiv; 0.360000, equiv; 2.000000
./multLibs/EQ_divide/6 , equiv; 1.200000, equiv; 0.380000, equiv; 9.690000
./multLibs/EQ_divide/7 , equiv; 1.560000, equiv; 0.440000, equiv; 45.570000
./multLibs/EQ_divide/8 , equiv; 1.900000, equiv; 0.540000, equiv; 212.810000
./multLibs/EQ_divide/9 , equiv; 2.400000, equiv; 0.760000, unknown; 119.880000
./multLibs/EQ_getSign2/1 , equiv; 1.300000, equiv; 0.290000, equiv; 0.050000
./multLibs/EQ_getSign2/10 , equiv; 3.260000, equiv; 1.550000, timeout; 300.000000
./multLibs/EQ_getSign2/11 , equiv; 4.340000, equiv; 2.810000, timeout; 300.000000
./multLibs/EQ_getSign2/12 , equiv; 6.280000, equiv; 5.880000, timeout; 300.000000
./multLibs/EQ_getSign2/13 , equiv; 9.910000, equiv; 12.790000, timeout; 300.000000
./multLibs/EQ_getSign2/14 , equiv; 15.000000, equiv; 29.060000, timeout; 300.000000
./multLibs/EQ_getSign2/15 , equiv; 15.900000, equiv; 68.550000, timeout; 300.000000
./multLibs/EQ_getSign2/2 , equiv; 0.640000, equiv; 0.340000, equiv; 0.030000
./multLibs/EQ_getSign2/3 , equiv; 0.760000, equiv; 0.380000, equiv; 0.050000
./multLibs/EQ_getSign2/4 , equiv; 0.910000, equiv; 0.410000, equiv; 0.110000
./multLibs/EQ_getSign2/5 , equiv; 1.120000, equiv; 0.460000, equiv; 0.340000
./multLibs/EQ_getSign2/6 , equiv; 1.370000, equiv; 0.520000, equiv; 1.170000
./multLibs/EQ_getSign2/7 , equiv; 1.690000, equiv; 0.600000, equiv; 4.830000
./multLibs/EQ_getSign2/8 , equiv; 2.100000, equiv; 0.720000, equiv; 21.290000
./multLibs/EQ_getSign2/9 , equiv; 2.560000, equiv; 0.980000, equiv; 98.310000
./multLibs/EQ_is_prime1/1 , equiv; 1.370000, equiv; 0.260000, unknown; 0.070000
./multLibs/EQ_is_prime1/10 , equiv; 1.120000, equiv; 0.270000, unknown; 0.020000
