Instance Name, CC2 Result, CLEVER Result, Reve Result
./nestedMerge/EQ_ltfiveEQ_odd/libA , equiv; 22.955300, equiv; 39.955400, unknown; 0.020000
./nestedMerge/EQ_ltfiveEQ_pos/libA , equiv; 32.084200, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_ltfiveEQ_pos2/libA , equiv; 0.507200, timeout; 300.000000, not equiv; 0.060000
./nestedMerge/EQ_ltfiveEXTRA_ultra_prime_sum/libA , equiv; 141.900100, timeout; 300.000000, unknown; 0.310000
./nestedMerge/EQ_multipleBoundEQ_LoopMult20/libA , equiv; 1.246200, equiv; 0.166800, equiv; 0.030000
./nestedMerge/EQ_multipleBoundEQ_UnchLoop/libA , equiv; 40.315800, equiv; 0.138100, equiv; 0.100000
./nestedMerge/EQ_multipleBoundEQ_odd/libA , equiv; 12.175900, timeout; 300.000000, unknown; 0.010000
./nestedMerge/EQ_multipleBoundEQ_pos/libA , equiv; 22.498500, equiv; 144.845600, unknown; 0.020000
./nestedMerge/EQ_multipleBoundEQ_pos2/libA , equiv; 0.360600, timeout; 300.000000, not equiv; 0.040000
./nestedMerge/EQ_multipleBoundEXTRA_ultra_prime_sum/libA , equiv; 75.273000, timeout; 300.000000, unknown; 0.160000
./nestedMerge/EQ_multipleEQ_LoopMult20/libA , equiv; 1.843500, equiv; 0.374200, equiv; 0.030000
./nestedMerge/EQ_multipleEQ_UnchLoop/libA , equiv; 40.299400, equiv; 0.105900, equiv; 0.100000
./nestedMerge/EQ_multipleEQ_odd/libA , equiv; 12.526100, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_multipleEQ_pos/libA , equiv; 11.333800, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_multipleEQ_pos2/libA , equiv; 0.302200, timeout; 300.000000, not equiv; 0.030000
./nestedMerge/EQ_multipleEXTRA_ultra_prime_sum/libA , equiv; 75.227200, timeout; 300.000000, unknown; 0.160000
./nestedMerge/EQ_oddEQ_Add/libA , equiv; 0.174900, equiv; 0.101700, equiv; 0.020000
